lag,R2,coef,p-value,AIC,BIC
0,0.11636817784750186,-62.87112572144174,0.00013741488815857076,844.2321167638578,849.8071002494219
1,0.11199099914718003,-61.51487823646568,0.0001992846832408639,837.9170588673179,843.4753058535409
2,0.10998482958790412,-60.809812927035985,0.00024391444410835043,831.3117159483381,836.8530851972695
3,0.11890375105731599,-63.2652463642531,0.00014051873228660626,823.5252523342556,829.0496002038511
4,0.12116350136328391,-64.00885672493212,0.00012874364672879921,816.7273836095765,822.2345639917892
5,0.11219230857198559,-61.56967176565089,0.00025320741678874065,811.3536321546247,816.8434964113512
6,0.09256457014713637,-55.86373013143232,0.0009982460145017207,807.2603191340572,812.7327160308462
7,0.06498634201316567,-46.797243421425264,0.006431607414572768,804.058388182959,809.5131638203836
8,0.03762353466503365,-35.63273559882535,0.04043869415455516,800.7342653382258,806.171263080816
9,0.012826501420406311,-20.782120798631084,0.23660649606351258,796.9582564727712,802.3773168753959
